2026-04-20 00:09:37,370 | DEBUG | jarvis | Available tools: [{'name': 'open_url', 'description': 'Открывает указанный URL в браузере по умолчанию.', 'risk_level': 'safe'}, {'name': 'browser_search', 'description': 'Открывает поиск Google по переданному запросу.', 'risk_level': 'safe'}, {'name': 'create_file', 'description': 'Создаёт текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'open_file', 'description': 'Открывает текстовый файл из рабочей папки и читает его содержимое.', 'risk_level': 'safe'}, {'name': 'edit_file', 'description': 'Изменяет текстовый файл в рабочей папке ассистента.', 'risk_level': 'confirm'}, {'name': 'get_weather', 'description': 'Получает текущую погоду из интернета по названию города.', 'risk_level': 'safe'}, {'name': 'get_programming_news', 'description': 'Получает свежие новости программирования.', 'risk_level': 'safe'}, {'name': 'music_control', 'description': 'Управляет музыкой: ищет длинные видео на YouTube, ставит на паузу, переключает треки и меняет громкость.', 'risk_level': 'safe'}, {'name': 'window_control', 'description': 'Управляет окнами Windows: сворачивает все окна, восстанавливает свернутые окна и показывает рабочий стол.', 'risk_level': 'safe'}, {'name': 'system_power', 'description': 'Управляет питанием Windows: переводит компьютер в сон или выключает его.', 'risk_level': 'confirm'}, {'name': 'delete_file', 'description': 'Удаляет файл из рабочей папки ассистента.', 'risk_level': 'dangerous'}]
2026-04-20 00:23:15,365 | DEBUG | jarvis | Assistant response: Пожалуйста, уточните, нужен ли вам конкретный курс (например, USD/RUB) или вы хотите получить общий курсовую информацию?
2026-04-20 00:23:47,673 | INFO | jarvis | Received user input: общая информация
2026-04-20 00:23:47,674 | INFO | jarvis | User said: общая информация
2026-04-20 00:24:00,133 | INFO | jarvis | Brain decision: {"decision_type": "tool_call", "response_text": "", "tool_name": "browser_search", "tool_args": {"query": "общая информация"}, "requires_confirmation": false}
2026-04-20 00:24:00,134 | INFO | jarvis | Assistant understood: {"decision_type": "tool_call", "response_text": "", "tool_name": "browser_search", "tool_args": {"query": "общая информация"}, "requires_confirmation": false}
2026-04-20 00:24:00,134 | INFO | jarvis | Assistant selected action: browser_search | args={'query': 'общая информация'}
2026-04-20 00:24:00,135 | INFO | jarvis | Executing tool: browser_search with args={'query': 'общая информация'}
2026-04-20 00:24:00,242 | INFO | jarvis | Tool result: Ищу в Google: общая информация
2026-04-20 00:24:00,243 | DEBUG | jarvis | Assistant response: Ищу в Google: общая информация
2026-04-20 00:24:23,110 | INFO | jarvis | Received user input: Включи музыку
2026-04-20 00:24:23,111 | INFO | jarvis | User said: Включи музыку
2026-04-20 00:24:23,111 | INFO | jarvis | Executing tool: music_control with args={'action': 'play', 'source': 'youtube'}
2026-04-20 00:24:25,241 | INFO | jarvis | Tool result: Запускаю музыку на YouTube: Музыка для повышения производительности труда и концентрации | Спокойная инструментальная фоновая му (3:04:11).
2026-04-20 00:24:25,241 | DEBUG | jarvis | Assistant response: Запускаю музыку на YouTube: Музыка для повышения производительности труда и концентрации | Спокойная инструментальная фоновая му (3:04:11).
2026-04-20 00:25:06,161 | INFO | jarvis | Received user input: можешь отдыхать
2026-04-20 00:25:06,161 | INFO | jarvis | User said: можешь отдыхать
2026-04-20 00:25:20,755 | INFO | jarvis | Brain decision: {"decision_type": "respond", "response_text": "Отдыхайся.", "tool_name": "music_control", "tool_args": {"action": "pause"}, "requires_confirmation": false}
2026-04-20 00:25:20,756 | INFO | jarvis | Assistant understood: {"decision_type": "respond", "response_text": "Отдыхайся.", "tool_name": "music_control", "tool_args": {"action": "pause"}, "requires_confirmation": false}
2026-04-20 00:25:20,757 | DEBUG | jarvis | Assistant response: Отдыхайся.
